cena;pamiec;PPI;lcd
499;16;295;1
619;16;295;1
719;32;271;1
599;32;271;1
619;32;282;1
649;32;295;1
549;32;295;1
1049;64;268;0
1299;64;269;1
889;64;270;1
899;64;282;1
929;64;279;0
609;64;293;1
3729;64;326;0
4719;64;326;1
1219;64;395;1
1369;64;395;1
1449;64;401;1
1109;64;397;1
1989;64;402;0
2099;64;408;1
999;64;409;0
1119;64;409;1
1109;64;409;0
1619;64;409;1
2889;64;418;1
1109;64;443;0
4349;64;458;0
4719;64;458;0
5619;64;458;1
6949;64;458;0
4199;128;326;0
4239;128;326;1
3289;128;377;0
3859;128;386;0
1739;128;391;1
2629;128;393;0
3089;128;393;0
1499;128;395;1
3279;128;398;0
2759;128;398;0
2119;128;402;0
2239;128;402;1
2099;128;402;1
3109;128;402;0
3639;128;402;0
4659;128;402;0
1969;128;403;0
1879;128;405;0
1249;128;409;1
1969;128;409;1
1659;128;412;1
1619;128;415;1
3549;128;415;0
3309;128;422;1
1429;128;435;1
4959;128;500;0
7449;128;515;0
5509;128;513;0
3199;128;515;0
5459;128;524;1
4329;128;551;0
4349;128;566;0
5339;256;326;1
5769;256;386;0
2979;256;398;0
3359;256;398;0
4409;256;400;0
3359;256;409;0
5639;256;441;0
4189;256;458;0
4969;256;458;0
7799;256;458;1
7049;256;458;0
6079;256;513;0
4329;256;515;0
4409;512;458;0
5339;512;477;0
7599;512;458;1
8179;512;458;0
